id;arrondissement_id;quartier_id;note_maison;note_agence;mois
1;6610293;6609731;6.79;5.82;SEPT
2;6610293;6609731;4.6;5.75;NOV
3;6610293;6609731;6.18;0.02;AVRIL
4;6610293;6609731;3.25;7.84;OCT
5;6610293;6609731;1.67;9.99;OCT
6;6610293;6609731;9.71;3.43;OCT
7;6610293;6609731;1.86;4.94;JUIN
8;6610293;6609731;8.75;7.14;JUIL
9;6610293;6609731;9.83;2.35;AOUT
10;6610293;6609731;7.28;2.73;AVRIL
11;6610293;6609731;6.81;5.02;JANV
12;6610293;6609731;4.47;5.25;JANV
13;6610293;6609731;3.37;8.65;MAI
14;6610293;6609731;7.04;4.1;JUIL
15;6610293;6609731;6.32;2.55;JUIN
16;6610293;6609731;3.83;5.28;DEC
17;6610293;6609731;0.49;7.8;MARS
18;6610293;6609731;8.24;4.27;NOV
19;6610293;6609731;1.43;8.71;AOUT
20;6610293;6609731;4.0;8.33;OCT
21;6610293;6609731;9.09;9.51;MAI
22;6610293;6609731;9.82;8.55;JUIN
23;6610293;6609731;9.32;0.15;OCT
24;6610293;6609731;0.83;4.76;MARS
25;6610293;6609731;9.62;8.79;JANV
26;6610293;6609731;8.5;2.77;AVRIL
27;6610293;6609731;5.24;1.09;FEV
28;6610293;6609731;1.3;2.68;DEC
29;6610293;6609731;5.79;2.54;NOV
30;6610293;6609731;0.41;3.09;NOV
31;6610293;6609731;4.45;8.24;NOV
32;6610293;6609731;9.64;7.22;MAI
33;6610293;6609731;1.04;4.56;SEPT
34;6610293;6609731;6.86;3.26;FEV
35;6610293;6609731;9.18;0.18;SEPT
36;6610293;6609731;7.54;6.04;JUIL
37;6610293;6609731;6.83;1.74;JANV
38;6610293;6609731;2.25;4.4;NOV
39;6610293;6609731;4.32;5.16;NOV
40;6610293;6609731;7.07;2.07;FEV
41;6610293;6609731;0.96;2.76;DEC
42;6610293;6609731;4.01;4.18;AOUT
43;6610293;6609731;3.21;2.24;JANV
44;6610293;6609731;0.69;9.45;FEV
45;6610293;6609731;3.58;6.48;OCT
46;6610293;6609731;8.3;6.17;FEV
47;6610293;6609731;4.79;0.02;AVRIL
48;6610293;6609731;8.44;7.03;JUIL
49;6610293;6609731;2.38;2.91;MAI
50;6610293;6609731;8.43;5.22;SEPT
1;6610616;6609732;8.24;0.13;SEPT
2;6610616;6609732;5.55;7.87;SEPT
